配构件编号：	1
Floor	DS1	DS2	DS3	DS4
24	0.94	0.06	0	0	
25	0.926	0.074	0	0	


配构件编号：	26
Floor	DS1	DS2	DS3	DS4
1	0.915	0.085	0	0	
2	0.922	0.078	0	0	
3	0.929	0.071	0	0	
4	0.914	0.086	0	0	
5	0.912	0.088	0	0	
6	0.906	0.094	0	0	
7	0.896	0.104	0	0	
8	0.894	0.106	0	0	
9	0.883	0.117	0	0	
10	0.884	0.116	0	0	
11	0.878	0.122	0	0	
12	0.889	0.111	0	0	
13	0.888	0.112	0	0	
14	0.894	0.106	0	0	
15	0.895	0.105	0	0	
16	0.907	0.093	0	0	
17	0.917	0.083	0	0	
18	0.939	0.061	0	0	
19	0.947	0.053	0	0	
20	0.953	0.047	0	0	
21	0.948	0.052	0	0	
22	0.942	0.058	0	0	
23	0.931	0.069	0	0	
24	0.914	0.086	0	0	
25	0.883	0.117	0	0	


配构件编号：	27
Floor	DS1	DS2	DS3	DS4
1	1	0	0	0	
2	1	0	0	0	
3	1	0	0	0	
4	1	0	0	0	
5	1	0	0	0	
6	1	0	0	0	
7	1	0	0	0	
8	1	0	0	0	
9	1	0	0	0	
10	1	0	0	0	
11	1	0	0	0	
12	1	0	0	0	
13	1	0	0	0	
14	1	0	0	0	
15	1	0	0	0	
16	1	0	0	0	
17	1	0	0	0	
18	1	0	0	0	
19	1	0	0	0	
20	1	0	0	0	
21	1	0	0	0	
22	1	0	0	0	
23	1	0	0	0	
24	1	0	0	0	
25	1	0	0	0	


配构件编号：	28
Floor	DS1	DS2	DS3	DS4
1	0.983	0.017	0	0	
2	0.982	0.018	0	0	
3	0.973	0.027	0	0	
4	0.969	0.031	0	0	
5	0.964	0.036	0	0	
6	0.962	0.038	0	0	
7	0.951	0.049	0	0	
8	0.948	0.052	0	0	
9	0.945	0.055	0	0	
10	0.947	0.053	0	0	
11	0.944	0.056	0	0	
12	0.946	0.054	0	0	
13	0.949	0.051	0	0	
14	0.952	0.048	0	0	
15	0.953	0.047	0	0	
16	0.96	0.04	0	0	
17	0.968	0.032	0	0	
18	0.972	0.028	0	0	
19	0.977	0.023	0	0	
20	0.976	0.024	0	0	
21	0.976	0.024	0	0	
22	0.975	0.025	0	0	
23	0.971	0.029	0	0	
24	0.962	0.038	0	0	
25	0.953	0.047	0	0	


