ID	volume	 mp(left)	mp(ÁºÖÐ)	mp(right)	h	EI
354	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
355	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
356	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
357	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
358	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
359	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
360	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
361	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
362	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
363	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
364	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
365	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
366	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
367	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
368	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
369	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
370	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
371	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
372	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
373	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
374	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
375	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
376	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
377	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
378	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
379	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
380	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
381	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
382	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
383	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
384	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
385	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
386	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
387	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
388	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
389	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
390	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
391	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
392	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
393	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
394	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
395	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
396	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
397	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
398	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
399	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
400	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
401	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
402	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
403	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
404	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
405	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
406	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
407	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
408	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
409	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
